iter	Passed	Remaining
0	57	5738
1	81	4010
2	106	3445
3	129	3097
4	151	2880
5	177	2787
6	208	2774
7	238	2745
8	272	2752
9	306	2759
10	336	2719
11	365	2680
12	401	2686
13	430	2646
14	448	2544
15	481	2526
16	506	2472
17	525	2395
18	553	2358
19	572	2290
20	591	2225
21	616	2187
22	646	2164
23	679	2150
24	710	2130
25	732	2084
26	762	2062
27	791	2036
28	821	2012
29	847	1978
30	881	1961
31	915	1946
32	944	1918
33	975	1893
34	998	1855
35	1021	1816
36	1044	1777
37	1067	1741
38	1107	1732
39	1136	1705
40	1163	1673
41	1194	1649
42	1219	1616
43	1241	1579
44	1265	1546
45	1286	1509
46	1307	1473
47	1325	1435
48	1345	1399
49	1362	1362
50	1379	1325
51	1396	1288
52	1412	1252
53	1430	1218
54	1446	1183
55	1464	1150
56	1481	1117
57	1501	1087
58	1519	1055
59	1540	1026
60	1556	994
61	1572	963
62	1588	932
63	1603	901
64	1618	871
65	1634	842
66	1650	813
67	1670	785
68	1686	757
69	1705	730
70	1723	704
71	1745	678
72	1764	652
73	1781	625
74	1797	599
75	1813	572
76	1829	546
77	1846	520
78	1863	495
79	1880	470
80	1898	445
81	1914	420
82	1937	396
83	1960	373
84	1980	349
85	1998	325
86	2015	301
87	2033	277
88	2050	253
89	2068	229
90	2085	206
91	2107	183
92	2124	159
93	2145	136
94	2164	113
95	2185	91
96	2204	68
97	2221	45
98	2239	22
99	2258	0
